INFORME,FECHA CIERRE,FECHA SESIÓN,N°,Marca temporal,Autor de la Pregunta,Justificación o contexto,Pregunta,Órgano requerido,Area de gestión,Tema
ANEXO 94,30/05/2016,01/06/2016,299,8/1/2016 16:27:14,"Abal Medina, Juan Manuel (BAS - PJ-FpV)",,¿Qué cantidad de beneficiarios se estiman para la Tarifa Social y cuál es el impacto fiscal de la aplicación de esta medida?,Ministerio de Energía y Minería,Tarifas  ,TARIFA SOCIAL COSTO FISCAL
ANEXO 94,30/05/2016,01/06/2016,300,8/1/2016 16:29:23,"Abal Medina, Juan Manuel (BAS - PJ-FpV)",,¿El costo que demandará la puesta en marcha de la Tarifa Social se financia con el mayor costo que pagan los usuarios que abonan la tarifa plena o con mayores aportes del Tesoro Nacional?,Ministerio de Energía y Minería,Tarifas  ,TARIFA SOCIAL COSTO FISCAL
ANEXO 94,30/05/2016,01/06/2016,301,8/1/2016 16:29:53,"Abal Medina, Juan Manuel (BAS - PJ-FpV)",," ¿Cuál fue el impacto de la suba de las tarifas en la demanda de energía eléctrica, gas ? Diferenciar de acuerdo con el consumo industrial y residencial. ¿Se espera una caída en la demanda?",Ministerio de Energía y Minería,Tarifas  ,CAIDA DEMANDA CONSUMO SERVICIOS PÚBLICOS
ANEXO 94,30/05/2016,01/06/2016,302,8/1/2016 16:29:53,"Abal Medina, Juan Manuel (BAS - PJ-FpV)",, ¿Cuál fue el impacto de la suba de las tarifas en la demanda de  transporte? ,Ministerio de Transporte,Tarifas  ,DEMANDA DEL TRANSPORTE
ANEXO 94,30/05/2016,01/06/2016,303,8/1/2016 16:22:43,"Abal Medina, Juan Manuel (BAS - PJ-FpV)",Las medidas económicas tomadas durante los últimos meses han generado incertidumbre con respecto a la estabilidad laboral de gran parte de los trabajadores de nuestro país.,¿Cuál es la tasa de desocupación según cifra oficiales?,Ministerio de Hacienda y Finanzas Públicas,Política de Empleo y Desempleo  ,TASA DE DESOCUPADOS
ANEXO 94,30/05/2016,01/06/2016,304,8/1/2016 16:32:48,"Abal Medina, Juan Manuel (BAS - PJ-FpV)",,"¿Por qué no pueden visualizarse las partidas subparciales en el ""Sitio del Ciudadano"" de la Secretaría de Hacienda? La publicación de la ejecución de dichas partidas contribuiría a mejorar el proceso de transparencia fiscal.",Ministerio de Hacienda y Finanzas Públicas,Otros,DATOS EN PAG WEB MINISTERIO HACIENDA
ANEXO 94,30/05/2016,01/06/2016,305,8/1/2016 16:30:43,"Abal Medina, Juan Manuel (BAS - PJ-FpV)",,"¿A qué se debe la baja ejecución registrada en los Programas de Inversión Pública, especialmente en temas de Vivienda? ","Ministerio de Interior, Obras Públicas y Vivienda", Política habitacional.,SUBEJECUCIÓN PROGRAMAS DE INVERSIÓN PÚBLICA
ANEXO 94,30/05/2016,01/06/2016,306,8/1/2016 16:25:11,"Abal Medina, Juan Manuel (BAS - PJ-FpV)",Las medidas económicas tomadas durante los últimos meses han generado incertidumbre con respecto a la estabilidad laboral de gran parte de los trabajadores de nuestro país,¿Qué medidas se están tomando para contrarrestar la caída del empleo así como para mejorar las condiciones del empleo ya existente?,"Ministerio de Trabajo, Empleo y Seguridad Social",Política de Empleo y Desempleo  ,MEDIDAS CONTRA CAIDA DEL EMPLEO 
ANEXO 94,30/05/2016,01/06/2016,307,8/1/2016 16:26:46,"Abal Medina, Juan Manuel (BAS - PJ-FpV)","Las Acciones de Empleo, llevadas a cabo por el Ministerio de Trabajo, Empleo y Seguridad Social fomentan la incorporación de beneficiarios a los distintos planes de empleo existentes, además de la promoción del empleo y la mejora de la empleabilidad. De acuerdo con datos del Ministerio de Hacienda las principales iniciativas de este Programa, como el ""Empleo Transitorio"" y el ""Mantenimiento del Empleo Privado"" han mostrado una importante caída en la cantidad de beneficios otorgados durante el primer trimestre de este año.",¿A qué se debe esta baja? ¿Cuál es la evolución esperada para los próximos meses?,"Ministerio de Trabajo, Empleo y Seguridad Social",Política de Empleo y Desempleo  ,CANTIDAD DE BENEFICIARIOS DE PROGRAMAS DE EMPLEO
ANEXO 94,30/05/2016,01/06/2016,308,8/1/2016 15:07:20,"Blas, Inés Imelda (CAT - PJ-FpV)", ,"El decreto 656/16 deroga el Régimen de Administración de Fondos del Decreto 1311/15 sin establecer un reemplazo, por lo cual los gastos de la AFI pasarán a ser confidenciales en su totalidad, en virtud de ello quisiera saber si esta previsto establecer una nuevo régimen de administración de fondos clasificados.",Agencia Federal de Inteligencia,Inteligencia,GASTOS AFI CONFIDENCIALES
