INFORME,FECHA CIERRE,FECHA SESIÓN,N°,Autor de la Pregunta,Justificación o contexto,Pregunta,Órgano requerido,Area de gestión,Tema
95,22/08/2016,24/08/2016,1,Bloque Avanzar San Luis,,"Compatibilidad Asignación Universal por Hijo y Planes Sociales Provinciales: Mediante Decreto Nº 593/16 del 15/4/2016, el Sr. Presidente de la Nación dispuso derogar la incompatibilidad prevista en el Artículo 9º del Decreto Nº 1.602/09 que creó la Asignación Universal por Hijo para Protección Social. El mencionado artículo disponía que la percepción de la Asignación Universal por Hijo resultaba incompatible con el cobro de cualquier suma originada en prestaciones contributivas o no contributivas nacionales, provinciales, municipales o de la Ciudad Autónoma de Buenos Aires. 
En este sentido, el Artículo 13º del Decreto Nº 593/16 establece: “Derógase el artículo 9° del Decreto N° 1.602 del 29 de octubre de 2009, a partir de la publicación de la Resolución reglamentaria que emita ANSES, definiendo el régimen de compatibilidades de las asignaciones universales del artículo 1° inciso c) de la Ley N° 24.714, en virtud de las facultades otorgadas por el artículo 11 del presente Decreto.”
Conforme la respuesta brindada por Ud. a este bloque en el Informe Nº 93 se solicita se especifique si ya fue firmado el Convenio de compatibilidad entre el ANSES y el Gobierno de la Provincia de San Luis, por la Asignación Universal por Hijo y la Beca del Plan de Inclusión Educativa creado por Ley II-911-2014 de la Provincia de San Luis.",ANSES,AUH,AUH CONVENIO SAN LUIS
95,22/08/2016,24/08/2016,2,Bloque Avanzar San Luis,,"Déficit Habitacional: Solicito se informe si está previsto realizar un relevamiento actualizado del déficit habitacional, a los fines de conocer la real necesidad de vivienda en la Republica Argentina. ","Ministerio de Interior, Obras Públicas y Vivienda",Política habitacional,RELEVAMIENTO DEFICIT HABITACIONAL
95,22/08/2016,24/08/2016,3,Bloque Avanzar San Luis,,"Déficit Habitacional – FO.NA.VI: Atento a que los recursos del Fondo Nacional de la Vivienda (FO.NA.VI), están destinados a la construcción de viviendas y en función de pactos fiscales, las provincias están autorizadas a la libre disponibilidad de los mismos, solicito informe a cuánto asciende el monto de FONAVI que se afecta exclusivamente a la construcción de Viviendas. ","Ministerio de Interior, Obras Públicas y Vivienda",Política habitacional,FONAVI PRESUPUESTO VIVIENDAS
95,22/08/2016,24/08/2016,4,Bloque Avanzar San Luis,,"Programa Crédito Argentino Bicentenario para la Vivienda Única Familiar (PRO.CRE.AR). Solicito se informe si el Comité Ejecutivo reevaluará los requisitos para acceder al crédito PROCREAR complementario, a los fines de posibilitar y facilitar el acceso a los beneficiarios que aún no han podido finalizar la construcción de su vivienda.   ",ANSES,ProCreAr,REQUISITOS PROCREAR COMPLEMENTARIO
95,22/08/2016,24/08/2016,5,Bloque Avanzar San Luis,,"Tarifas: Conforme la multiplicidad de fallos judiciales que rechazan, suspenden, anulan, congelan o dejan sin efecto los aumentos tarifarios, solicito a Ud. remita un informe detallando por jurisdicción, los aumentos tarifarios aplicables a cada una de ellas, discriminadas por servicios. ",Ministerio de Energía y Minería,Tarifas  ,TARIFAS SERVICIOS PÚBLICOS
95,22/08/2016,24/08/2016,6,Bloque Avanzar San Luis,,En el marco de la legislación que autorizo el pago a los llamados “fondos buitres” ¿Qué acuerdos se formalizaron al 31/07/2016 y cuál es el monto de cada uno?,Ministerio de Hacienda y Finanzas Públicas,Deuda Pública/emisión de deuda,MONTOS PAGADOS BUITRES HOLDOUTS
95,22/08/2016,24/08/2016,7,Bloque Avanzar San Luis,,Solicito informe el total de Deuda Pública de la Nación Argentina al 31/07/2016; discriminando el total de deuda pública interna y deuda pública externa.,Ministerio de Hacienda y Finanzas Públicas,Deuda Pública/emisión de deuda,DEUDA PÚBLICA INTERNA/EXTERNA
95,22/08/2016,24/08/2016,8,Bloque Avanzar San Luis,,Solicito informe el saldo de reservas del Banco Central de la República Argentina al 31/07/2016. ,Banco Central,Reservas,SALDO RESERVAS BCRA
95,22/08/2016,24/08/2016,9,Bloque Avanzar San Luis,,"Solicito informe a el importe al que asciende la deuda total que el Estado Nacional mantiene con las Obras Sociales Sindicales, y cuál es el importe adeudado con cada una de ellas al 31/07/2016.  ",Ministerio de Salud,Obra Social y Prepagas  ,DEUDA ESTADO CON OBRAS SOCIALES
95,22/08/2016,24/08/2016,10,Bloque Compromiso Federal,,"Respecto al aumento de la tarifas de los servicios públicos, ¿cuándo se llevará a cabo la audiencia pública obligatoria a fin de discutir, a nivel nacional y conforme a derecho, el aumento de las mismas?",Ministerio de Energía y Minería,Tarifas  ,FECHA AUDIENCIAS PÚBLICAS TARIFAS
95,22/08/2016,24/08/2016,11,Bloque Compromiso Federal,,¿Qué medidas se están tomando a nivel nacional a fin de colaborar con la Provincia de San Luis en la emergencia hídrica que afecta la Cuenca del Morro?,"Ministerio de Interior, Obras Públicas y Vivienda",Obras Hídricas,MEDIDAS EMERGENCIA HIDRICA CUENCA DEL MORRO
95,22/08/2016,24/08/2016,12,Bloque Compromiso Federal,,"Es base a los violentos hechos de seguridad que afectan a los hospitales públicos, ¿Qué medidas se han tomado a fin de garantizar la seguridad en los mismos, tanto del personal como de los pacientes?",Ministerio de Salud,Hospitales,MEDIDAS DE SEGURIDAD EN HOSPITALES
95,22/08/2016,24/08/2016,13,Bloque Compromiso Federal,,"¿Es cierto que el Presidente de la Nación le ha solicitado a las Fuerzas Armadas su participación en cuestiones de Seguridad Interior, las cuales se encuentran vedadas por ley? Y de ser así, ¿Qué grado de participación se pretende?",Ministerio de Seguridad,Seguridad Interior  ,FFAA AFECTADAS A SEGURIDAD INTERIOR
95,22/08/2016,24/08/2016,14,Bloque Compromiso Federal,,"En mayo de este año, la provincia de San Luis logró certificar la interrupción de la transmisión vectorial del T. cruzi por T. infestans. ¿Cuál es la situación de riesgo para la trasmisión vectorial en cada una de las restantes provincias? ",Ministerio de Salud,Epidemias,RIESGO DE EPIDEMIA DE CHAGAS EN EL PAIS
95,22/08/2016,24/08/2016,15,Bloque Compromiso Federal,,"Respecto del Plan de Cobertura Universal de Salud (DNU 908/16), ¿Qué medidas se están llevando a cabo para su implementación? ¿A partir de cuándo se podrá acceder a la Cobertura?",Ministerio de Salud,Programas/servicios de salud,IMPLEMENTACIÓN Y COBERTURA DEL PLAN UNIVERSAL DE SALUD
95,22/08/2016,24/08/2016,16,Bloque Compromiso Federal,,"Respecto del Plan de Cobertura Universal de Salud (DNU 908/16), ¿Qué medidas se están llevando a cabo a fin de garantizar el acceso a los medicamentos de quienes eran beneficiarios del Plan Remediar hasta tanto se implemente la Cobertura Universal de Salud?",Ministerio de Salud,Programas/servicios de salud,ACCESIBILIDAD MEDICAMENTOS PLAN REMEDIAR
95,22/08/2016,24/08/2016,17,Bloque Compromiso Federal,,La propuesta de creación de las UVIs (Unidades de Vivienda) resuelve el déficit de vivienda de quienes tienen mayor poder adquisitivo. Pero ¿cómo se propone mejorar la alarmante situación de déficit habitacional de los sectores más vulnerables que deben ser subsidiados?,"Ministerio de Interior, Obras Públicas y Vivienda",Política habitacional,MEDIDAS PARA PALIAR EL DEFICIT HABITACIONAL
95,22/08/2016,24/08/2016,18,Bloque Compromiso Federal,"Teniendo en cuenta que el Poder Ejecutivo convoco a Audiencias públicas ""no oficiales"", atemporales y no dispuestas tal como lo prevee la norma para los casos en que se discute la distribución y el traslado de gas pero no el precio de generación.  ",Solicitaría me informe qué validez tiene esta convocatoria y qué efectos o respuestas posee ante el aumento exorbitante de tarifas que es rechazado por toda la sociedad?,Ministerio de Energía y Minería,Tarifas  ,AUMENTO TARIFA AUDIENCIAS PÚBLICAS
95,22/08/2016,24/08/2016,19,Bloque Compromiso Federal,,"Informe en base a que normativa vigente se convocaron las audiencias informales para discutir el régimen tarifario de servicios públicos si la audiencia pública oficial está prevista para octubre del año en curso y además, el eje de discusión de aumentos de más del 500% se encuentra pendiente de resolución por parte de  la Corte Suprema de Justicia de la Nación?",Ministerio de Energía y Minería,Tarifas  ,AUDIENCIAS NO OFICIALES REGIMEN TARIFAS
95,22/08/2016,24/08/2016,20,Bloque Compromiso Federal,"En referencia al Programa Nacional de Entrega Voluntaria de Armas de Fuego, que está bajo la órbita del Registro Nacional de Armas (RENAR), dependiente del Ministerio de Justicia y Derechos Humanos de la Nación, informe lo sgte.:","¿Se ha realizado un revelamiento a los efectos de saber la  cantidad de armas de fuego y municiones recuperadas por el ""Programa Nacional de Entrega Voluntaria de Armas de Fuego""?",Ministerio de Justicia y Derechos Humanos,Seguridad Interior  ,RELEVAMIENTO CANTIDAD DE ARMAS Y MUNICIONES ENTREGADAS
95,22/08/2016,24/08/2016,21,Bloque Compromiso Federal,"En referencia al Programa Nacional de Entrega Voluntaria de Armas de Fuego, que está bajo la órbita del Registro Nacional de Armas (RENAR), dependiente del Ministerio de Justicia y Derechos Humanos de la Nación, informe lo sgte.:","En cuanto al relevamiento de la recuperación de armas de fuego y municiones, indique como fue realizada esa recuperación teniendo en cuenta:
-por cada provincia
-por tipos de armas de fuego
por municiones considerando cada tipo.
aclarando quienes han sido las personas que hicieron la entrega de las mismas.
si eran ""legales"" y cuántas provenían del ""mercado gris"" (armas no registradas ni usadas para delinquir"") y del negro.
las recibidas por el programa de entrega voluntaria. 
-como las incautadas por cuestiones administrativas
y aquellas miles enviadas por los poderes judiciales con orden de destrucción.",Ministerio de Justicia y Derechos Humanos,Seguridad Interior  ,ARMAS Y MUNICIONES ENTREGADAS INFORMACION Y DETALLES
95,22/08/2016,24/08/2016,22,Bloque Compromiso Federal,"En referencia al Programa Nacional de Entrega Voluntaria de Armas de Fuego, que está bajo la órbita del Registro Nacional de Armas (RENAR), dependiente del Ministerio de Justicia y Derechos Humanos de la Nación, informe lo sgte.:","En caso de no haber  realizado un revelamiento  para saber la  cantidad de armas de fuego y municiones recuperadas por el ""Programa Nacional de Entrega Voluntaria de Armas de Fuego"",  explique las razones.",Ministerio de Justicia y Derechos Humanos,Seguridad Interior  ,SITUACIÓN RELEVAMIENTO CANTIDAD DE ARMAS Y MUNICIONES ENTREGADAS
95,22/08/2016,24/08/2016,23,Bloque Compromiso Federal,"En referencia al Programa Nacional de Entrega Voluntaria de Armas de Fuego, que está bajo la órbita del Registro Nacional de Armas (RENAR), dependiente del Ministerio de Justicia y Derechos Humanos de la Nación, informe lo sgte.:","Teniendo en cuentan  que este plan tiene como objetivo básico la reducción de los delitos ¿qué cantidad de denuncias fueron efectuadas por pirotecnia, armas y explosivos desde el 2012 a la actualidad?",Ministerio de Seguridad,Seguridad Interior  ,CANTIDAD DE DENUNCIAS  X PIROTECNIA/EXPLOSIVOS
95,22/08/2016,24/08/2016,24,Bloque Compromiso Federal,"En referencia al Programa Nacional de Entrega Voluntaria de Armas de Fuego, que está bajo la órbita del Registro Nacional de Armas (RENAR), dependiente del Ministerio de Justicia y Derechos Humanos de la Nación, informe lo sgte.:",¿Se ha realizado un revelamiento para saber si la entrega de las armas produjo una disminución en los hechos delictivos con las mismas? ,Ministerio de Justicia y Derechos Humanos,Seguridad Interior  ,DISMINUCIÓN DELITOS X LA ENTREGA VOLUNTARIA DE ARMAS
95,22/08/2016,24/08/2016,25,Bloque Compromiso Federal,"En referencia al Programa Nacional de Entrega Voluntaria de Armas de Fuego, que está bajo la órbita del Registro Nacional de Armas (RENAR), dependiente del Ministerio de Justicia y Derechos Humanos de la Nación, informe lo sgte.:",Informe quién es el responsabilidad de haber omitido la renovación de la ley a fines del año  2015 que fija la entrega voluntaria de armas;  provocando la posibilidad de que el Estado las reciba para su destrucción? ,Ministerio de Justicia y Derechos Humanos,Seguridad Interior  ,DEMORA EN LA PRORROGA LEY DE DESARME
95,22/08/2016,24/08/2016,26,Bloque Compromiso Federal,"En referencia al Programa Nacional de Entrega Voluntaria de Armas de Fuego, que está bajo la órbita del Registro Nacional de Armas (RENAR), dependiente del Ministerio de Justicia y Derechos Humanos de la Nación, informe lo sgte.:",¿Considera viable la posibilidad de realizar un fuerte trabajo multiagencial para perseguir el mercado ilegal de armas?,Ministerio de Justicia y Derechos Humanos,Seguridad Interior  ,ACUERDOS MULTIAGENCIA CONTRA MERCADO ILEGAL DE ARMAS
95,22/08/2016,24/08/2016,27,Bloque Compromiso Federal,"En referencia al Programa Nacional de Entrega Voluntaria de Armas de Fuego, que está bajo la órbita del Registro Nacional de Armas (RENAR), dependiente del Ministerio de Justicia y Derechos Humanos de la Nación, informe lo sgte.:","¿Existe una opinión respecto al funcionamiento del Plan, en especial en cuanto al trabajo de campo previo a la recolección de armas y a las campañas de concientización de la población? ",Ministerio de Justicia y Derechos Humanos,Seguridad Interior  ,EFECTIVIDAD DEL PLAN DE DESARME
95,22/08/2016,24/08/2016,28,Bloque Compromiso Federal,"En referencia al Programa Nacional de Entrega Voluntaria de Armas de Fuego, que está bajo la órbita del Registro Nacional de Armas (RENAR), dependiente del Ministerio de Justicia y Derechos Humanos de la Nación, informe lo sgte.:", ¿Se ha realizado  un análisis pormenorizado para conocer sobre la efectividad del Programa Nacional de Entrega Voluntaria de Armas de Fuego?,Ministerio de Justicia y Derechos Humanos,Seguridad Interior  ,ANÁLISIS DE LA EFECTIVIDAD DEL PLAN DE DESARME
95,22/08/2016,24/08/2016,29,Bloque Compromiso Federal,"En referencia al Programa Nacional de Entrega Voluntaria de Armas de Fuego, que está bajo la órbita del Registro Nacional de Armas (RENAR), dependiente del Ministerio de Justicia y Derechos Humanos de la Nación, informe lo sgte.:","¿Se  ha procedido a la destrucción del remanente de armas que actualmente se encuentran en los depósitos de las fiscalías judiciales. En caso contrario, explique los motivos. ",Ministerio de Justicia y Derechos Humanos,Seguridad Interior  ,DESTRUCCIÓN REMANENTE ARMAS EN DEPÓSITOS JUDICIALES
95,22/08/2016,24/08/2016,30,Bloque Compromiso Federal,"En referencia al Programa Nacional de Entrega Voluntaria de Armas de Fuego, que está bajo la órbita del Registro Nacional de Armas (RENAR), dependiente del Ministerio de Justicia y Derechos Humanos de la Nación, informe lo sgte.:","¿Existe algún plan, por parte del ANMAC (ex RENAR) u otro organismo estatal para prevenir o desincentivar el uso, portación o tenencia de armas de fuego en Manifestaciones sociales o sindicales, eventos deportivos, u otra circunstancia particular que genere una situación de peligrosidad en relación con armas de fuego?",Ministerio de Justicia y Derechos Humanos,Seguridad Interior  ,PREVENCIÓN USO PORTACIÓN DE ARMAS EN MANIFESTACIONES/MARCHAS
95,22/08/2016,24/08/2016,31,Bloque Compromiso Federal,"En referencia al Programa Nacional de Entrega Voluntaria de Armas de Fuego, que está bajo la órbita del Registro Nacional de Armas (RENAR), dependiente del Ministerio de Justicia y Derechos Humanos de la Nación, informe lo sgte.:",¿Cuál es la cantidad de trámites de baja de armas solicitadas desde año 2012 hasta la actualidad?,Ministerio de Justicia y Derechos Humanos,Seguridad Interior  ,CANTIDAD DE TRAMITES DE BAJAS DE ARMAS
95,22/08/2016,24/08/2016,32,Bloque Compromiso Federal,,¿Cuál es el estado actual del Programa REMEDIAR + REDES? ,Ministerio de Salud,Programas/servicios de salud,ESTADO PROGRAMA REMEDIAR+REDES
95,22/08/2016,24/08/2016,33,Bloque Compromiso Federal,Teniendo en cuenta el desarrollo del Programa REMEDIAR + REDES,"¿Se ha realizado una auditoría para verificar el desarrollo que ha tenido el Programa? En caso afirmativo, cuál ha sido el resultado? En caso negativo, informe los motivos.",Ministerio de Salud,Programas/servicios de salud,DESARROLLO DE AUDITORIA EN REMEDIAR+REDES 
95,22/08/2016,24/08/2016,34,Bloque Compromiso Federal,Teniendo en cuenta el desarrollo del Programa REMEDIAR + REDES,"Indique como se está desarrollando actualmente la distribución de medicamentos en los correspondientes hospitales y centros de salud de todo el país. Asimismo, detalle si actualmente se mantienen los acuerdos con organismos internacionales para el correcto funcionamiento.",Ministerio de Salud,Medicamentos/ANMAT,DISTRIBUCIÓN MEDICAMENTOS REMEDIAR+REDES EN HOSPITALES
95,22/08/2016,24/08/2016,35,Bloque Compromiso Federal,Teniendo en cuenta el desarrollo del Programa REMEDIAR + REDES,"Detalle cómo será su continuidad, coordinación y planificación respecto al segundo semestre y posterior 2017?",Ministerio de Salud,Programas/servicios de salud,REMEDIAR+REDES PLANIFICACIÓN 2016-2017
