INFORME,FECHA CIERRE,FECHA SESIÓN,N°,Marca temporal,Autor de la Pregunta,Bloque,Órgano requerido,Organismo (derivación final),Corresponde responder a 2 o mas Ministerios?,Segunda derivación,Justificación o contexto,Pregunta,Respuesta,Organismo requerido inicialmente,Area de gestión,Tema
96,26/09/2016,28/08/2016,1,,"Abal Medina, Juan Manuel (BAS - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),"Ministerio de Trabajo, Empleo y Seguridad Social",,,,Las medidas económicas tomadas durante los últimos meses han generado incertidumbre con respecto a la estabilidad laboral de gran parte de los trabajadores de nuestro país. ,¿Cuál es la tasa de desocupación según las cifras oficiales?  ,SI,"Trabajo, Empleo y Seguridad Social",Estadísticas,TASA DE DESOCUPACIÓN
96,26/09/2016,28/09/2016,2,,"Abal Medina, Juan Manuel (BAS - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),"Ministerio de Trabajo, Empleo y Seguridad Social",,,,,¿Qué medidas se están tomando para contrarrestar la caída del empleo así como para mejorar las condiciones del empleo ya existente?,SI,"Trabajo, Empleo y Seguridad Social",Política de Empleo y Desempleo  ,MEDIDAS PROTECCIÓN EMPLEO
96,26/09/2016,28/09/2016,3,,"Abal Medina, Juan Manuel (BAS - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),"Ministerio de Trabajo, Empleo y Seguridad Social",,,,"Las Acciones de Empleo, llevadas a cabo por el Ministerio de Trabajo, Empleo y Seguridad Social fomentan la incorporación de beneficiarios a los distintos planes de empleo existentes, además de la promoción del empleo y la mejora de la empleabilidad. De acuerdo con datos del Ministerio de Hacienda las principales iniciativas de este Programa, como el ""Empleo Transitorio"" y el ""Mantenimiento del Empleo Privado"" han mostrado una importante caída en la cantidad de beneficios otorgados durante el primer trimestre de este año. ",¿A qué se debe esta baja? ¿Cuál es la evolución esperada para los próximos meses?,SI,"Trabajo, Empleo y Seguridad Social",Programas de empleo,CAIDA DE BENEFICIARIOS EN PROGRAMAS DE EMPLEO
96,26/09/2016,28/08/2016,4,,"Abal Medina, Juan Manuel (BAS - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),AFIP,,Ministerio de Hacienda y Finanzas Públicas,,"Habiendo transcurrido ya casi tres meses desde la sanción de la Ley 27.253,",¿En qué estado de situación se encuentra la devolución del 15% del IVA  a los jubilados y pensionados? ¿Cuántos beneficiarios han recibido la devolución sobre el total de 9.250.000 personas que se verían alcanzadas según expusiera el Administrador Federal de Ingresos Públicos en este Senado?.,SI,Hacienda y Finanzas Públicas,AFIP/Tributos,BENEFICIARIOS ALCANZADOS DEVOLUCIÓN IVA
96,26/09/2016,28/09/2016,5,,"Abal Medina, Juan Manuel (BAS - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Hacienda y Finanzas Públicas,,,,,¿Cuál ha sido hasta la fecha la disminución de la recaudación tributaria generada por la baja de los derechos de exportación a la minería?,,Hacienda y Finanzas Públicas,Recaudación,DISMINUCIÓN RECAUDACIÓN TRIBUTARIA
96,26/09/2016,28/09/2016,6,,"Abal Medina, Juan Manuel (BAS - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Hacienda y Finanzas Públicas,,,,,"¿Cómo está previendo el Poder Ejecutivo compensar los menores ingresos que generan la Ley de Sinceramiento Fiscal - Exención del Impuesto sobre los Bienes Personales con suspensión de anticipos, disminución de alícuotas en el mismo impuesto, como así también por la Ley de Mipymes, disminución del Impuesto a las Ganancias por el aumento del pago a cuenta del impuesto al cheque.? Ambas situaciones no estaban contempladas en el presupuesto 2016.",,Hacienda y Finanzas Públicas,AFIP/Tributos,IMPACTO RECAUDACIÓN SINCERAMIENTO FISCAL
96,26/09/2016,28/08/2016,7,,"Abal Medina, Juan Manuel (BAS - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Energía y Minería,,,,,¿Qué cantidad de beneficiarios se estiman para la Tarifa Social y cuál es el impacto fiscal de la aplicación de esta medida?,SI,Energía y Minería,Tarifas  ,BENEFICIARIOS TARIFA SOCIAL
96,26/09/2016,28/09/2016,8,,"Abal Medina, Juan Manuel (BAS - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Energía y Minería,,Ministerio de Hacienda y Finanzas Públicas,,,¿El costo que demandará la puesta en marcha de la Tarifa Social se financia con el mayor costo que pagan los usuarios que abonan la tarifa plena o con mayores aportes del Tesoro Nacional? ¿Cuántos usuarios reciben hoy la Tarifa Social y cuántos podrían acceder a la misma de implementarse plenamente? ¿Qué medidas se están tomando para difundir las condiciones de acceso y facilitar la tramitación de la Tarifa Social?,SI,Energía y Minería,Tarifas  ,COSTO APLICACIÓN TARIFA SOCIAL
96,26/09/2016,28/09/2016,9,,"Abal Medina, Juan Manuel (BAS - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Energía y Minería,,Ministerio de Transporte,,," ¿Cuál fue el impacto de la suba de las tarifas en la demanda de energía eléctrica, gas y transporte? En los dos primeros casos, diferenciar de acuerdo con el consumo industrial y residencial. ¿Se espera una caída en la demanda?",SI (TRANSPORTE Y ENERGIA Y MINERIA),Energía y Minería,Tarifas  ,IMPACTO AUMENTO SERVICIOS PÚBLICOS
96,26/09/2016,28/08/2016,10,,"Abal Medina, Juan Manuel (BAS - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),"Ministerio de Interior, Obras Públicas y Vivienda",,,,,¿Cuál es el régimen de facturación del servicio de agua en la Ciudad Autónoma de Buenos Aires y el Conurbano? ¿Cómo se implementaron los aumentos en el servicio? ¿Cómo ayuda este esquema de facturación al uso responsable del agua y a una distribución equitativa de los costos?,SI,"Interior, Obras Públicas y Vivienda",Recursos Hidrícos/Obras Hídricas,FACTURACIÓN Y TARIFA AGUA POTABLE AMBA
96,26/09/2016,28/09/2016,11,,"Abal Medina, Juan Manuel (BAS - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),"Ministerio de Interior, Obras Públicas y Vivienda",,,,,"¿A qué se debe la baja ejecución registrada en los Programas de Inversión Pública, especialmente en temas de Vivienda? ",SI,"Interior, Obras Públicas y Vivienda",Política habitacional,SUBEJECUCIÓN OBRAS PÚBLICAS
96,26/09/2016,28/09/2016,12,,"Abal Medina, Juan Manuel (BAS - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Hacienda y Finanzas Públicas,,,,,"Por qué no pueden visualizarse las partidas subparciales en el ""Sitio del Ciudadano"" de la Secretaría de Hacienda? La publicación de la ejecución de dichas partidas contribuiría a mejorar el proceso de transparencia fiscal",SI,Hacienda y Finanzas Públicas,Acceso a la información,INFORMACIÓN WEB HACIENDA
96,26/09/2016,28/08/2016,13,,"Abal Medina, Juan Manuel (BAS - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),"Ministerio de Interior, Obras Públicas y Vivienda",,,,Hace pocos días la Dirección Nacional de Migraciones dio a conocer a través de su página Web la decisión de abrir un centro de retención para migrantes en Argentina a través de un comunicado titulado “Complementación estatal en aplicación a la ley migratoria. Convenio por extranjeros con antecedentes penales o ingreso ilegal al país”. Esta comunicación despertó la preocupación de distintos sectores de la sociedad.,"¿Qué otras medidas de “complementación estatal en aplicación a la ley migratoria” fueron adoptadas por el Estado? En particular, ¿qué medidas se tomaron para facilitar la regularización de las personas migrantes, en concordancia con lo dispuesto por el artículo 17 de la Ley de Migraciones Nº 25.871?",SI,"Interior, Obras Públicas y Vivienda",Política Migratoria,CENTRO RETENCIÓN MIGRANTES
96,26/09/2016,28/09/2016,14,,"Abal Medina, Juan Manuel (BAS - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),"Ministerio de Interior, Obras Públicas y Vivienda",,,,,"¿Qué medidas se están tomando para garantizar el cumplimiento de lo dispuesto por los artículos 67 y 68 de la Ley de Migraciones Nº 25.871, que aseguran que la expulsión no menoscabará por sí sola ninguno de los derechos que haya adquirido el migrante de conformidad con la legislación nacional, incluido el derecho a recibir los salarios y toda otra prestación que le pudiere corresponder?",SI,"Interior, Obras Públicas y Vivienda",Política Migratoria,CUMPLIMIENTO LEY DE MIGRACIONES
96,26/09/2016,28/09/2016,15,,"Abal Medina, Juan Manuel (BAS - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),"Ministerio de Interior, Obras Públicas y Vivienda",,Ministerio de Justicia y Derechos Humanos,,Sobre la decisión de abrir un Centro de Retención para Migrantes,¿Qué medidas se tomaron para asegurar el respeto de las Garantías Constitucionales de los extranjeros sometidos a dicho “alojamiento”?,SI,"Interior, Obras Públicas y Vivienda",Política Migratoria,CENTRO RETENCIÓN MIGRANTES
96,26/09/2016,28/08/2016,16,,"Abal Medina, Juan Manuel (BAS - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Justicia y Derechos Humanos,,"Ministerio de Interior, Obras Públicas y Vivienda",,,"¿Considera que esta disposición es compatible con lo dispuesto por los Tratados de derechos humanos incorporados a nuestra Constitución, que establecen que la privación de la libertad de migrantes por el solo hecho de encontrarse en situación de irregularidad migratoria constituye una práctica violatoria de los derechos humanos?",SI (INTERIOR Y JUSTICIA),"Interior, Obras Públicas y Vivienda",Política Migratoria,CENTRO RETENCIÓN MIGRANTES
96,26/09/2016,28/09/2016,17,,"Abal Medina, Juan Manuel (BAS - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),"Ministerio de Interior, Obras Públicas y Vivienda",,,,"Sobre la ""Complementacion Estatal en Aplicación a la Ley Migratoria""","¿Qué medidas se están adoptando para incentivar la integración sociocultural de los migrantes, y contrarrestar las consecuencias negativas que podrían resultar de la citada disposición?",SI,"Interior, Obras Públicas y Vivienda",Política Migratoria,CUMPLIMIENTO LEY DE MIGRACIONES
96,26/09/2016,28/09/2016,18,,"Abal Medina, Juan Manuel (BAS - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Transporte,,,,,"¿Cuál es, en porcentajes, el avance de la obra de electrificación del tren Roca Ramal Plaza Constitución – La Plata? Discriminar por estaciones y localidades.",SI,Transporte ,Política Ferroviaria  ,AVANCES OBRA TREN ROCA
96,26/09/2016,28/08/2016,19,,"Abal Medina, Juan Manuel (BAS - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Transporte,,,,,"¿Cuáles fueron los motivos de la suspensión del servicio alternativo de colectivos que reemplaza al tren en su tramo directo Plaza Constitución – La Plata?¿Cuáles son los horarios, frecuencia, y precios del servicio de colectivos que reemplaza al tren que cubre el tramo La Plata – Berazategui? ¿Hubo en el curso del corriente año alguna modificación en la frecuencia y horarios de este servicio? Si es así, ¿cuál fue el motivo del cambio?
¿Cuáles son las medidas implementadas para contrarrestar el mayor costo que representa para el pasajero el uso de este servicio alternativo de colectivos?",SI,Transporte ,Transporte terrestre  ,SERVICIO ALTERNATIVO DE COLECTIVOS POR EL ROCA
96,26/09/2016,28/09/2016,20,,"Barrionuevo, Walter (JUY - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Relaciones Exteriores y Culto,,,,,"Informe : Estado de la negociación con la Republica de Chile relacionada a lo establecido en los artículos 2° y 3° de la Ley 24.582 sobre Corredor Ferroviario que vincularía la localidad de Abra Pampa, provincia de Jujuy, con la República de Chile a través del Paso de Jama.",SI (RREE),Transporte ,Política Ferroviaria  ,CORREDOR FERROVIARIO A CHILE
